ITEM	REF	DESC	MEAN	ALT	FS	D1	D2	D3	D4	D5	D6	D7
20223	327	0402524819018	89000	89000	F	19	16	13	16	19		
20224	327	0402524929018	61500	61500	F	72	28	115	106	72		
20225	327	0402524929018	69500	69500	F	25	7	10	12	57		
20226	327	0402524929018	78000	78000	F	4	2	3	3	5		
20227	327	0402524819011	75000	75000	F	600	465	500	300	500		
20228	327	0402524819011	85000	85000	F	400	429	350	350	350		
20229	327	0402524819011	95000	95000	F	300	250	300	300	350		
20230	327	0402524819011	85000	85000	F	400	400	450	300	300		
20231	327	0402524929019	66000	66000	F	377	350	350	350			
20232	327	0402524929019	75000	75000	F	150	223	490	400			
20233	327	0603294819010	118000	118000	F	109	164	134	144	144		
20234	327	0603294819010	118000	118000	F	133	107	134	144	132		
20235	327	0603294929010	106500	106500	F	10	38	24	5	33		
20236	327	0603294819018	63000	63000	F	3	4	7	4			
20237	327	0603294819018	56000	56000	F	19	31	71	11			
20238	327	0603294929018	47000	47000	F	15	72	55	29	51		
20239	327	0603294819018	42500	42500	F	20	7	30	30	7		
20240	327	0603294819018	38500	38500	F	84	208	184	227	70		
20241	327	0603294929018	27500	27500	F	393	309	562	7	17		
20242	327	0603294819011	118000	118000	F	200	100	100	100	100		
20243	327	0603294819011	118000	118000	F	77	50	50	50	72		
20244	311	0207536065810	0	125000	F	6	8					
20245	311	0207536065810	0	120000	F	14	15	19				
20246	311	0207536065810	0	100000	F	142	190	205				
20247	311	0207536065810	0	80000	F	963	1075	1106				
20248	311	0207536065810	0	58000	F	4504	5779					
20249	311	0207536065810	0	50000	F	9832	9970					
20250	311	0207536065810	0	50000	F	27000	35000					
20251	311	0207536065810	0	50000	F	12000	39000					
20252	311	0207536065810	0	45000	F	43000	45700					
20253	311	0207536065810	20000	108000	F	3	2	2				
20254	311	0207536065810	20000	105000	F	6	7	12				
20255	311	0207536065810	20000	100000	F	38	50	58				
20256	311	0207536065810	20000	90000	F	275	297	330				
20257	311	0207536065810	20000	70000	F	1522	1855	1868	1954			
20258	311	0207536065810	20000	53000	F	6376	7350					
20259	311	0207536065810	20000	50000	F	24500	28000					
20260	311	0207536065810	20000	45000	F	20000	33000					
20261	311	0207536065810	20000	27500	F	290000	464000					
20262	311	0207536065810	0	124000	F	5	4					
20263	311	0207536065810	0	120000	F	5	6					
20264	311	0207536065810	0	110000	F	13	14					
20265	311	0207536065810	0	90000	F	104	106					
20266	311	0207536065810	0	65000	F	589	682	874				
20267	311	0207536065810	0	42500	F	5400	14800					
20268	311	0207536065810	20000	105000	F	5	5	7				
20269	311	0207536065810	20000	80000	F	116	152	157	158			
20270	311	0207536065810	20000	60000	F	496	625	898				
20271	311	0207536065810	20000	37500	F	4711	5847	6486				
20272	311	0207536065810	20000	31000	F	16000	19000					
20273	311	0207536065810	20000	15000	F	164000	181000	202000				
20274	311	0307536065810	0	190000	F	4	9					
20275	311	0307536065810	0	186000	F	3	7	7	10			
20276	311	0307536065810	0	160000	F	83	86	93	111			
20277	311	0307536065810	0	140000	F	183	212	240				
20278	311	0307536065810	0	120000	F	421	449	513				
20279	311	0307536065810	0	100000	F	916	926	1048				
20280	311	0307536065810	0	80000	F	2908	3514					
20281	311	0307536065810	0	60000	F	12551	18921					
20282	311	0307536065810	50000	143000	F	12	15	23				
20283	311	0307536065810	50000	130000	F	161	186	191				
20284	311	0307536065810	50000	110000	F	473	479	539				
20285	311	0307536065810	50000	80000	F	1727	1843	2133				
20286	311	0307536065810	50000	60000	F	5176	6522					
20287	311	0307536065810	50000	40000	F	28000	36000					
20288	311	0307536065810	50000	30000	F	40085	88000					
20289	311	0307536065810	0	190000	F	2	3					
20290	311	0307536065810	0	180000	F	20	10	10				
20291	311	0307536065810	0	160000	F	17	25	25				
20292	311	0307536065810	0	140000	F	43	59	60				
20293	311	0307536065810	0	120000	F	110	115	135				
20294	311	0307536065810	0	100000	F	253	296					
20295	311	0307536065810	0	80000	F	922	1300	1338				
20296	311	0307536065810	0	30000	F	81000	104000					
20297	311	0307536065810	50000	135000	F	13	21	25				
20298	311	0307536065810	50000	110000	F	91	99	101				
20299	311	0307536065810	50000	90000	F	242	287	319				
20300	311	0307536065810	50000	70000	F	776	811	819				
20301	311	0307536065810	50000	50000	F	2440	3074	3303				
20302	311	0307536065810	50000	20000	F	70000	125000					
20303	320	0400092865010	40000	22000	F	41000	45000	78000	94000			
20304	320	0400092812010	40000	35000	F	19000	20000	21000	27000			
20305	320	0400092812010	40000	15000	F	242000	25000	252000				
20306	320	0400092812010	40000	10000	F	810000	2586000					
20307	320	0400092819010	40000	65000	F	20000	22000	33000				
20308	320	0400092819010	40000	62000	F	21000	72000					
20309	320	0400092819010	40000	60000	F	36000	42000	49000				
20310	320	0400092819010	40000	55000	F	44000	50000	60000				
20311	320	0400092819010	40000	50000	F	24000	68000	115000	120000	129000	130000	170000
					F	171000	184000	328000	355000			
20312	320	0400092819010	40000	47000	F	47000	215000	369000				
20313	320	0400092819010	40000	45000	F	329000	1065000					
20314	320	0400092819010	40000	39000	F	2233000	8140000					
20315	320	0400092819010	40000	75000	F	26000	32000	70000				
20316	320	0400092819010	40000	70000	F	20000	57000	89000	93000			
20317	320	0400092819010	40000	65000	F	47000	52000	61000	261000			
20318	320	0400092819010	40000	60000	F	80000	85000	97000	129000	220000		
20319	320	0400092819010	40000	55000	F	275000	337000	728000				
20320	320	0400092819010	40000	52000	F	206000	257000	314000				
20321	320	0400092819010	40000	50000	F	10000000	108000	198000	223000	574000		
					S	10000000						
20322	320	0400092819010	40000	47000	F	10000000	1352000					
					S	10000000						
20323	320	0400090865010	40000	45000	F	11100	11000	11000				
20324	320	0400090865010	40000	40000	F	16000	16000	22000				
20325	320	0400090865010	40000	32000	F	23000	23000	28000				
20326	320	0400090865010	40000	25000	F	38000	41000	49000	53000	62000		
20327	320	0400090865010	40000	20000	F	67000	67000	94000				
20328	320	0400090865010	40000	18000	F	10000000	87000					
					S	10000000						
20329	320	0400090865010	40000	17000	F	84000	1245000	1792000				
20330	320	0400090865010	40000	15000	F	110000	174000	1026000	1862000			
20331	320	0400090812010	40000	35000	F	24000	26000	30000	39000			
20332	320	0400090812010	40000	30000	F	43000	56000					
20333	320	0400090812010	40000	25000	F	87000	88000	88000	91000	98000		
20334	320	0400090812010	40000	20000	F	191000	240000	249000	250000			
20335	320	0400090812010	40000	15000	F	429000	510000	610000	643000	844000		
20336	320	0400090812010	40000	13000	F	830000	1296000					
20337	320	0400090812010	40000	11000	F	300000	1590000					
					S	300000						
20338	320	0400090819010	40000	75000	F	16000	17000	20000				
20339	320	0400090819010	40000	70000	F	21000	32000	33000				
20340	320	0400090819010	40000	65000	F	52000	59000	59000				
20341	320	0400090819010	40000	60000	F	131000	141000	163000	180000	204000		
20342	320	0400090819010	40000	55000	F	239000	261000	277000				
20343	320	0400090819010	40000	52000	F	141000	1764000	2895000				
20344	320	0400090819010	40000	50000	F	379000	959000	1315000	3220000			
20345	320	0300090865010	40000	40000	F	9000	10000	14000				
20346	320	0300090865010	40000	36000	F	14000	18000	20000				
20347	320	0300090865010	40000	32000	F	20000	25000	38000				
20348	320	0300090865010	40000	28000	F	22000	25000	49000				
20349	320	0300090865010	40000	25000	F	47000	54000	87000				
20350	320	0300090865010	40000	22000	F	71000	85000	91410000				
20351	320	0300090812010	40000	35000	F	18000	24000	21000				
20352	320	0300090812010	40000	30000	F	34000	38000	43000	47000			
20353	320	0300090812010	40000	25000	F	71000	83000	86000				
20354	320	0300090812010	40000	20000	F	111000	159000	176000	231000			
20355	320	0300090812010	40000	17000	F	255000	273000	289000	326000			
20356	320	0300090812010	40000	15000	F	10000000	330000	960000				
					S	10000000						
20357	320	0300090812010	40000	12000	F	3489000	4554000	8089000				
20358	320	0300090812010	40000	11000	F	1942000	2112000					
20359	320	0300090819010	40000	85000	F	5000	8000					
20360	320	0300090819010	40000	80000	F	8000	9000	11000				
20361	320	0300090819010	40000	75000	F	12000	13000	25000				
20362	320	0300090819010	40000	70000	F	20000	33000	47000				
20363	320	0300090819010	40000	65000	F	69000	70000	71000	137000			
20364	320	0300090819010	40000	60000	F	75000	154000	159000	180000	188000	275000	
20365	320	0300090819010	40000	57000	F	75000	246000	251000	278000			
20366	320	0300090819010	40000	55000	F	136000	457000	524000	550000	738000		
20367	320	0300090819010	40000	52000	F	306000	383000	700000				
20368	320	0300090819010	40000	50000	F	10000000	994000	1293000	1590000			
					S	10000000						
20369	320	0300090819010	40000	100000	F	11000	25000	26000	29000			
20370	320	0300090819010	40000	90000	F	27000	30000	32000	34000	35000		
20371	320	0300090819010	40000	85000	F	44000	117000					
20372	320	0300090819010	40000	80000	F	45000	49000	62000	89000			
20373	320	0300090819010	40000	75000	F	107000	154000	202000				
20374	320	0300090819010	40000	70000	F	135000	141000	238000				
20375	320	0300090819010	40000	65000	F	334000	366000					
20376	320	0300090819010	40000	60000	F	151000	366000	487000				
20377	320	0300090819010	40000	57000	F	787000	2823000					
20378	320	0400024865010	40000	30000	F	17000	18000	21000				
20379	320	0400024865010	40000	25000	F	20000	28000	30000				
20380	320	0400024865010	40000	20000	F	10000000	52000	59000				
					S	10000000						
20381	320	0400024865010	40000	170000	F	10000000	10000000	10000000				
					S	10000000	10000000	10000000				
20382	320	0400024865010	40000	15000	F	94000	108000	271000	425000	9879000		
20383	320	0400024865010	40000	12000	F	10000000	630000	5265000				
					S	10000000						
20384	320	0400024865010	40000	10000	F	10000000	7904000					
					S	10000000						
20385	320	0400024812010	40000	30000	F	18000	19000	19000				
20386	320	0400024812010	40000	25000	F	30000	32000	36000	54000			
20387	320	0400024812010	40000	20000	F	71000	71000	76000	125000			
20388	320	0400024812010	40000	17000	F	110000	126000	145000				
20389	320	0400024812010	40000	15000	F	137000	167000	186000	322000			
20390	320	0400024812010	40000	13000	F	256000	257000	294000				
20391	320	0400024812010	40000	12000	F	10000000	387000	437000				
					S	10000000						
20392	320	0400024812010	40000	11000	F	387000	422000	608000				
20393	320	0400024812010	40000	10000	F	695000	777000					
20394	320	0400024819010	40000	47000	F	61000	66000	115000				
20395	320	0400024819010	40000	45000	F	39000	48000	103000				
20396	320	0400024819010	40000	43000	F	309000	312000	573000				
20397	320	0400024819010	40000	42000	F	10000000	108000	9991000				
					S	10000000						
20398	320	0400024819010	40000	40000	F	10000000	10000000					
					S	10000000	10000000					
20399	320	0400092865016	40000	22000	F	47000	49000	66000	67000	69000		
20400	320	0400092865016	40000	22000	F	36000	45000	47000	58000	155000		
20401	320	0400092865016	40000	22000	F	46000	46000	54000	54000	74000		
20402	320	0400092812016	40000	27000	F	46000	48000	51000	64000	72000		
20403	320	0400092812016	40000	27000	F	59000	59000	68000	69000	98000		
20404	320	0400092812016	40000	27000	F	74000	79000	101000	107000	111000		
20405	320	0400092819016	40000	50000	F	173000	174000	196000	239000	260000		
20406	320	0400092819016	40000	60000	F	74000	86000	90000	100000	180000		
20407	320	0400092819016	40000	60000	F	54000	58000	63000	133000	263000		
20408	320	0400090865016	40000	25000	F	38000	41000	44000	48000	7690000		
20409	320	0400090865016	40000	25000	F	36000	43000	45000	50000	6629000		
20410	320	0400090865016	40000	25000	F	32000	37000	38000	39000	43000		
20411	320	0400090812016	40000	15000	F	579000	652000	695000	1233000	1795000		
20412	320	0400090812016	40000	15000	F	687000	803000	884000	1312000	1547000		
20413	320	0400090812016	40000	15000	F	620000	690000	817000	1161000	1666000		
20414	320	0400090819016	40000	60000	F	72000	90000	111000	118000	155000		
20415	320	0400090819016	40000	60000	F	65000	69000	85000	87000	90000		
20416	320	0300090865016	40000	25000	F	22000	33000	39000	63000	132000		
20417	320	0300090865016	40000	25000	F	35000	36000	38000	50000	88000		
20418	320	0300090865016	40000	25000	F	22000	25000	26000	30000	33000		
20419	320	0300090812016	40000	17000	F	227000	263000	306000	322000			
20420	320	0300090812016	40000	17000	F	217000	262000	277000	329000	392000		
20421	320	0300090812016	40000	17000	F	249000	298000	329000	339000	375000		
20422	320	0300090819016	40000	60000	F	40000	49000	64000	81000	117000		
20423	320	0300090819016	40000	60000	F	30000	36000	43000	47000	55000		
20424	320	0300090819016	40000	75000	F	81000	96000	116000	196000	228000		
20425	320	0300090819016	40000	75000	F	61000	72000	85000	125000	129000		
20426	320	0400024865016	40000	20000	F	15000000	38000	48000	66000			
					S	15000000						
20427	320	0400024865016	40000	20000	F	10230000	10446000	62000				
					S	10230000	10446000					
20428	320	0400024865016	40000	20000	F	38000	46000	53000	2036000	6828000		
20429	320	0400024812016	40000	17000	F	115000	120000	126000	128000	129000		
20430	320	0400024812016	40000	17000	F	115000	120000	126000	128000	129000		
20431	320	0400024812016	40000	17000	F	108000	113000	125000	130000	134000		
20432	320	0400024819016	40000	42000	F	61000	93000	129000	143000			
20433	320	0400024819016	40000	42000	F	68000	92000	115000	134000	141000		
20434	313	0635785865010	93500	76500	F	6000	7000					
20435	313	0635785865010	77000	63000	F	12000	10000					
20436	313	0635785865010	66000	54000	F	22000	40000					
20437	313	0635785865010	55000	45000	F	84000	65000					
20438	313	0635785865010	49500	40500	F	9855000	390000	152000				
20439	313	0635785865010	44000	36000	F	10647000	872000					
					S	10647000						
20440	313	0535785965010	44000	36000	F	68000	49000					
20441	313	0535785965010	38500	31500	F	690000	106000					
20442	313	0635785865010	77000	63000	F	10000	16000					
20443	313	0635785865010	66000	54000	F	29000	26000					
20444	313	0635785865010	55000	45000	F	34000	48000					
20445	313	0635785865010	49500	40500	F	75000	371000					
20446	313	0635785865010	44000	36000	F	6667000	378000					
20447	313	0635785965010	66000	54000	F	7000	12000					
20448	313	0635785965010	44000	36000	F	44000	56000					
20449	313	0635785965010	38500	31500	F	2090000	201000					
20450	313	0643085865010	71500	58500	F	22000	25000					
